Time;ETH / Realized Market Cap (USD)
2015-12-03;29423088.471523408
2015-12-04;29489074.863271654
2015-12-05;29646110.86152783
2015-12-06;29498212.16361002
2015-12-07;29423688.154966816
2015-12-08;29454326.326435518
2015-12-09;29521247.97656947
2015-12-10;29676839.541406363
2015-12-11;29998863.2095375
2015-12-12;30288921.11560347
2015-12-13;30179105.367791325
2015-12-14;30788447.745782975
2015-12-15;31056116.55571948
2015-12-16;31502347.53480435
2015-12-17;31950997.713513874
2015-12-18;31821382.572360314
2015-12-19;31845239.94850358
2015-12-20;32191762.02747157
2015-12-21;32040682.212456267
2015-12-22;31927067.970255055
2015-12-23;31889482.27418462
2015-12-24;31916098.516421314
2015-12-25;31918796.694639385
2015-12-26;31893469.442664538
2015-12-27;31995469.615470957
2015-12-28;31835495.89980775
2015-12-29;31963799.684954267
2015-12-30;32120822.64052766
2015-12-31;32462596.924145665
2016-01-01;32363497.583050787
2016-01-02;32509992.927726123
2016-01-03;32594133.193191707
2016-01-04;32593953.641130563
2016-01-05;32568938.773108047
2016-01-06;32539141.306548044
2016-01-07;32493619.246039443
2016-01-08;32726120.110521037
2016-01-09;32701546.279784553
2016-01-10;32869793.142951928
2016-01-11;33249159.768672895
2016-01-12;34142219.70440826
2016-01-13;33971123.191295564
2016-01-14;34145881.20745619
2016-01-15;35041604.16432514
2016-01-16;34843292.91579434
2016-01-17;38018169.364204146
2016-01-18;40139618.02998833
2016-01-19;39722207.48438928
2016-01-20;40356660.47443891
2016-01-21;40638980.77863432
2016-01-22;41074053.307922624
2016-01-23;43122951.56823485
2016-01-24;44465873.07273407
2016-01-25;46684973.21053204
2016-01-26;47194064.27655326
2016-01-27;47553563.10756891
2016-01-28;48527364.912549004
2016-01-29;48843317.776209824
2016-01-30;49682291.99658559
2016-01-31;49034817.503366955
2016-02-01;56014200.32205925
2016-02-02;57394652.878279984
2016-02-03;58287098.29664855
2016-02-04;58763075.73663995
2016-02-05;62318825.33954696
2016-02-06;62321156.281344436
2016-02-07;67011757.981997065
2016-02-08;68812740.45449123
2016-02-09;72523802.58218518
2016-02-10;82691200.01672001
2016-02-11;89568703.42825817
2016-02-12;92919298.23149805
2016-02-13;92894729.59699751
2016-02-14;112242051.80667318
2016-02-15;113388915.04755823
2016-02-16;112184697.64507993
2016-02-17;111415860.93559048
2016-02-18;113802759.3061598
2016-02-19;115524045.56055698
2016-02-20;114917149.48016588
2016-02-21;115988534.78853351
2016-02-22;118630724.86162633
2016-02-23;119273443.88037509
2016-02-24;121057637.65477799
2016-02-25;121893868.46075645
2016-02-26;136655975.3338519
2016-02-27;141128658.10258356
2016-02-28;142457822.05705625
2016-02-29;147337033.5013407
2016-03-01;164988822.30901045
2016-03-02;193585160.79061034
2016-03-03;202273310.84529433
2016-03-04;223231803.14801612
2016-03-05;236398638.88176844
2016-03-06;241309841.03735337
2016-03-07;239331301.5718186
2016-03-08;254767576.21309963
2016-03-09;263483753.3762124
2016-03-10;264111837.96735668
2016-03-11;267034405.4504493
2016-03-12;277625569.4669013
2016-03-13;292282039.1648078
2016-03-14;320934216.69490856
2016-03-15;338353466.4563194
2016-03-16;336515587.5318712
2016-03-17;316852470.9614753
2016-03-18;314370372.3187281
2016-03-19;315112156.97755975
2016-03-20;324019361.1123021
2016-03-21;329302726.3394261
2016-03-22;331715893.72431093
2016-03-23;348471219.66440254
2016-03-24;349354875.05347735
2016-03-25;349773613.91500044
2016-03-26;351031818.10786104
2016-03-27;353937776.96590793
2016-03-28;357676773.5029134
2016-03-29;362768519.1938937
2016-03-30;371576223.1564705
2016-03-31;361771212.1760908
2016-04-01;363031300.09187037
2016-04-02;363615525.37199146
2016-04-03;364251021.4386925
2016-04-04;364165373.8550023
2016-04-05;365295287.2058943
2016-04-06;369376648.9445945
2016-04-07;369689810.4559888
2016-04-08;370200515.0811475
2016-04-09;370066011.12067175
2016-04-10;370506896.75178397
2016-04-11;370214099.3453786
2016-04-12;368021994.818415
2016-04-13;369883119.6114072
2016-04-14;339737321.3458157
2016-04-15;336561324.7824698
2016-04-16;341429273.4389048
2016-04-17;340208125.5943398
2016-04-18;340450520.2130659
2016-04-19;340246378.00213355
2016-04-20;340494038.39268905
2016-04-21;340541630.919669
2016-04-22;340952514.7116192
2016-04-23;343906140.3003655
2016-04-24;343560166.75757873
2016-04-25;343375750.6599253
2016-04-26;343112547.6777332
2016-04-27;343100135.805452
2016-04-28;327702002.8657202
2016-04-29;327138097.8278411
2016-04-30;334365378.6332942
2016-05-01;338246195.09987545
2016-05-02;347599094.23617303
2016-05-03;347369553.6545146
2016-05-04;348149114.125077
2016-05-05;350766833.33141184
2016-05-06;372713316.733378
2016-05-07;374294544.85322714
2016-05-08;377026695.5359812
2016-05-09;377087048.1886854
2016-05-10;378773924.68037665
2016-05-11;393344441.5513163
2016-05-12;398241772.8664777
2016-05-13;416241167.25794613
2016-05-14;424091936.57035166
2016-05-15;435689888.82146275
2016-05-16;460073608.65112346
2016-05-17;475821690.79640144
2016-05-18;511332010.2528384
2016-05-19;538215490.1019905
2016-05-20;529547486.355444
2016-05-21;535439298.41066456
2016-05-22;540237832.2142354
2016-05-23;531568628.82626307
2016-05-24;520743799.80801916
2016-05-25;521632640.1578145
2016-05-26;523085327.263169
2016-05-27;498023571.4791648
2016-05-28;515611304.12694967
2016-05-29;519773179.3409749
2016-05-30;521809857.3187275
2016-05-31;527171284.75150084
2016-06-01;528292372.51179355
2016-06-02;529741043.2250628
2016-06-03;530308608.508375
2016-06-04;553628490.3750391
2016-06-05;558485423.5077555
2016-06-06;560257067.5217505
2016-06-07;572531715.0672082
2016-06-08;578424143.4938778
2016-06-09;579902605.737834
2016-06-10;589507237.0209434
2016-06-11;596190594.7025568
2016-06-12;622411493.0174944
2016-06-13;652538470.6856118
2016-06-14;672415243.2504176
2016-06-15;669172815.4333199
2016-06-16;759448529.3631871
2016-06-17;661767099.5502412
2016-06-18;625902229.3144914
2016-06-19;637779965.5633668
2016-06-20;633763647.00423
2016-06-21;647069260.3870705
2016-06-22;647466088.6672088
2016-06-23;639063924.3111879
2016-06-24;648338687.7709273
2016-06-25;651157859.3575411
2016-06-26;650618877.2704257
2016-06-27;652683581.1657767
2016-06-28;631811602.4334017
2016-06-29;637568798.1083764
2016-06-30;635454421.6385796
2016-07-01;635354453.9637367
2016-07-02;635341877.2114457
2016-07-03;635350817.4503425
2016-07-04;639482740.3678204
2016-07-05;642377416.3278171
2016-07-06;643066598.1382762
2016-07-07;621823522.9078141
2016-07-08;610302489.3832337
2016-07-09;609818333.814379
2016-07-10;615818361.0876853
2016-07-11;610449119.7598436
2016-07-12;611355952.420016
2016-07-13;613001814.176423
2016-07-14;616836815.136877
2016-07-15;633169513.1826116
2016-07-16;630897869.5450834
2016-07-17;627049264.4038788
2016-07-18;626591311.6224786
2016-07-19;645879853.9380987
2016-07-20;650005007.7939459
2016-07-21;656477501.578067
2016-07-22;673914856.5353215
2016-07-23;689968685.743602
2016-07-24;681826745.5313752
2016-07-25;701808349.8684641
2016-07-26;697549157.5656594
2016-07-27;716260365.622402
2016-07-28;708822425.9781901
2016-07-29;718365235.7116681
2016-07-30;714231937.0551147
2016-07-31;705796896.9888588
2016-08-01;692679098.162627
2016-08-02;664793102.7819052
2016-08-03;679503179.3206192
2016-08-04;679093650.2600715
2016-08-05;681293808.6995801
2016-08-06;679840310.458943
2016-08-07;682188295.0748407
2016-08-08;687631410.2153159
2016-08-09;706692050.4048028
2016-08-10;712959012.0534475
2016-08-11;712671364.014992
2016-08-12;713959410.8762305
2016-08-13;712366506.4838938
